#P	Bytes	Seconds	Trials
6	24	7.31997e-07	393216
6	48	9.19034e-07	393216
6	96	9.41531e-07	393216
6	192	9.55495e-07	393216
6	384	1.00131e-06	393216
6	768	1.19885e-06	196608
6	1536	1.56884e-06	196608
6	3072	2.65309e-06	98304
6	6144	8.21559e-06	49152
6	12288	8.63082e-06	24576
6	24576	1.52427e-05	24576
6	49152	2.63911e-05	12288
6	98304	5.13856e-05	6144
6	196608	0.000126398	3072
6	393216	0.000280447	768
6	786432	0.000601979	384
6	1572864	0.00155956	192
6	3145728	0.00332604	96
6	6291456	0.00810215	48
6	12582912	0.0156027	24
6	25165824	0.0299245	12
6	50331648	0.0579023	6
6	100663296	0.113183	3
6	201326592	0.223355	3
6	402653184	0.444596	3
6	805306368	1.00303	3
6	1610612736	2.17487	3
6	3221225472	4.33083	3
